#FamilyID	pvalue	Significant at 0.05
OG0001422	0.003	y
OG0001423	0	y
OG0001424	0	y
OG0001425	0	y
OG0001426	0	y
OG0001427	0	y
OG0001428	0.003	y
OG0001429	0	y
OG0001430	0	y
OG0001431	0	y
OG0001432	0.001	y
OG0001433	0	y
OG0001434	0	y
OG0001435	0	y
OG0001436	0	y
OG0001437	0	y
OG0001438	0	y
OG0001439	0	y
OG0001440	0	y
OG0001441	0	y
OG0001442	0	y
OG0001443	0	y
OG0001444	0	y
OG0001446	0	y
OG0001456	0	y
OG0001457	0	y
OG0001459	0	y
OG0001460	0.011	y
OG0001462	0	y
OG0001463	0	y
OG0001465	0	y
OG0001466	0	y
OG0001467	0	y
OG0001468	0	y
OG0001469	0	y
OG0001470	0	y
OG0001471	0	y
OG0001473	0	y
OG0001475	0	y
OG0001476	0	y
OG0001477	0.004	y
OG0001478	0	y
OG0001479	0	y
OG0001480	0	y
OG0001481	0	y
OG0001482	0	y
OG0001483	0	y
OG0001485	0	y
OG0001486	0	y
OG0001487	0	y
OG0001488	0	y
OG0001489	0	y
OG0001490	0	y
OG0001493	0	y
OG0001494	0	y
OG0001495	0	y
OG0001497	0	y
OG0001499	0	y
OG0001500	0	y
OG0001502	0	y
OG0001503	0	y
OG0001504	0	y
OG0001505	0	y
OG0001506	0	y
OG0001507	0	y
OG0001508	0	y
OG0001509	0	y
OG0001510	0	y
OG0001511	0	y
OG0001517	0	y
OG0001518	0	y
OG0001519	0	y
OG0001520	0.001	y
OG0001521	0.001	y
OG0001522	0	y
OG0001523	0	y
OG0001524	0.011	y
OG0001525	0	y
OG0001526	0	y
OG0001527	0.001	y
OG0001529	0	y
OG0001532	0	y
OG0001533	0.001	y
OG0001534	0.001	y
OG0001535	0.012	y
OG0001536	0	y
OG0001538	0.002	y
OG0001540	0.004	y
OG0001541	0.001	y
OG0001542	0	y
OG0001543	0	y
OG0001544	0	y
OG0001545	0	y
OG0001546	0	y
OG0001547	0	y
OG0001548	0	y
OG0001550	0	y
OG0001551	0	y
OG0001552	0.011	y
OG0001553	0	y
OG0001557	0	y
OG0001558	0	y
OG0001559	0	y
OG0001561	0	y
OG0001562	0	y
OG0001563	0.001	y
OG0001565	0	y
OG0001566	0	y
OG0001567	0	y
OG0001568	0	y
OG0001569	0	y
OG0001570	0	y
OG0001572	0.003	y
OG0001581	0	y
OG0001582	0.006	y
OG0001583	0	y
OG0001584	0.002	y
OG0001585	0	y
OG0001587	0	y
OG0001588	0	y
OG0001589	0	y
OG0001590	0	y
OG0001591	0	y
OG0001592	0.001	y
OG0001593	0.009	y
OG0001594	0.001	y
OG0001595	0.007	y
OG0001596	0	y
OG0001597	0	y
OG0001598	0	y
OG0001599	0	y
OG0001600	0.002	y
OG0001601	0	y
OG0001602	0	y
OG0001603	0	y
OG0001604	0	y
OG0001605	0.004	y
OG0001606	0.003	y
OG0001607	0.019	y
OG0001608	0	y
OG0001609	0	y
OG0001610	0	y
OG0001611	0.001	y
OG0001612	0	y
OG0001613	0	y
OG0001614	0	y
OG0001615	0	y
OG0001616	0	y
OG0001617	0.03	y
OG0001618	0	y
OG0001619	0	y
OG0001620	0.004	y
OG0001623	0	y
OG0001624	0.002	y
OG0001625	0	y
OG0001626	0	y
OG0001627	0.011	y
OG0001628	0	y
OG0001629	0	y
OG0001631	0	y
OG0001632	0.002	y
OG0001633	0	y
OG0001635	0	y
OG0001636	0	y
OG0001639	0	y
OG0001641	0	y
OG0001644	0	y
OG0001645	0	y
OG0001647	0	y
OG0001649	0.004	y
OG0001651	0	y
OG0001652	0	y
OG0001653	0	y
OG0001654	0	y
OG0001665	0.003	y
OG0001666	0	y
OG0001667	0	y
OG0001668	0.002	y
OG0001669	0	y
OG0001670	0	y
OG0001672	0	y
OG0001675	0	y
OG0001676	0	y
OG0001677	0	y
OG0001678	0.011	y
OG0001679	0.003	y
OG0001680	0.004	y
OG0001682	0	y
OG0001685	0.007	y
OG0001686	0	y
OG0001687	0	y
OG0001688	0	y
OG0001689	0.001	y
OG0001690	0	y
OG0001691	0	y
OG0001692	0	y
OG0001693	0	y
OG0001694	0.004	y
OG0001695	0.005	y
OG0001696	0	y
OG0001698	0.003	y
OG0001700	0.001	y
OG0001701	0	y
OG0001703	0	y
OG0001704	0	y
OG0001705	0.046	y
OG0001706	0	y
OG0001707	0.001	y
OG0001708	0	y
OG0001709	0.001	y
OG0001710	0	y
OG0001711	0	y
OG0001713	0.022	y
OG0001714	0	y
OG0001715	0	y
OG0001716	0	y
OG0001717	0	y
OG0001718	0	y
OG0001720	0	y
OG0001721	0.001	y
OG0001722	0	y
OG0001723	0	y
OG0001724	0	y
OG0001725	0	y
OG0001726	0	y
OG0001737	0	y
OG0001738	0.003	y
OG0001739	0	y
OG0001740	0.011	y
OG0001741	0	y
OG0001742	0.001	y
OG0001743	0.009	y
OG0001744	0	y
OG0001745	0.005	y
OG0001747	0	y
OG0001748	0.013	y
OG0001749	0	y
OG0001750	0	y
